2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.215861+00:00 [notice] <0.44.0> Application syslog exited with reason: stopped
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,583 DEBUG pika.adapters.select_connection call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x77b4786a0dc0> with deadline=250.360915668 and callback=<bound method AMQPConnectionWorkflow._try_next_config_async of <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x77b47747b050>>; now=250.360915668; delay=0
2025-10-01 01:09:09 worker_b-1       | 2025-10-01 04:09:09,583 DEBUG pika.adapters.utils.connection_workflow _try_next_config_async: 'rabbitmq':5672
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.598568+00:00 [info] <0.230.0> ra: starting system quorum_queues
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.598653+00:00 [info] <0.230.0> starting Ra system: quorum_queues in directory: /var/lib/rabbitmq/mnesia/rabbit@ad96121a9ade/quorum/rabbit@ad96121a9ade
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.664339+00:00 [info] <0.266.0> ra system 'quorum_queues' running pre init for 0 registered servers
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.675714+00:00 [info] <0.267.0> ra: meta data store initialised for system quorum_queues. 0 record(s) recovered
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.691896+00:00 [notice] <0.272.0> WAL: ra_log_wal init, open tbls: ra_log_open_mem_tables, closed tbls: ra_log_closed_mem_tables
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.704334+00:00 [info] <0.230.0> ra: starting system coordination
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.704404+00:00 [info] <0.230.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@ad96121a9ade/coordination/rabbit@ad96121a9ade
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.706753+00:00 [info] <0.279.0> ra system 'coordination' running pre init for 0 registered servers
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.707935+00:00 [info] <0.280.0> ra: meta data store initialised for system coordination. 0 record(s) recovered
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.708228+00:00 [notice] <0.285.0> WAL: ra_coordination_log_wal init, open tbls: ra_coordination_log_open_mem_tables, closed tbls: ra_coordination_log_closed_mem_tables
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.712326+00:00 [info] <0.230.0> 
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.712326+00:00 [info] <0.230.0>  Starting RabbitMQ 3.11.28 on Erlang 25.3.2.9 [jit]
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.712326+00:00 [info] <0.230.0>  Copyright (c) 2007-2023 Broadcom Inc and/or its subsidiaries
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.712326+00:00 [info] <0.230.0>  Licensed under the MPL 2.0. Website: https://rabbitmq.com
2025-10-01 01:09:12 rabbitmq-1       | 
2025-10-01 01:09:12 rabbitmq-1       |   ##  ##      RabbitMQ 3.11.28
2025-10-01 01:09:12 rabbitmq-1       |   ##  ##
2025-10-01 01:09:12 rabbitmq-1       |   ##########  Copyright (c) 2007-2023 Broadcom Inc and/or its subsidiaries
2025-10-01 01:09:12 rabbitmq-1       |   ######  ##
2025-10-01 01:09:12 rabbitmq-1       |   ##########  Licensed under the MPL 2.0. Website: https://rabbitmq.com
2025-10-01 01:09:12 rabbitmq-1       | 
2025-10-01 01:09:12 rabbitmq-1       |   Erlang:      25.3.2.9 [jit]
2025-10-01 01:09:12 rabbitmq-1       |   TLS Library: OpenSSL - OpenSSL 3.1.5 30 Jan 2024
2025-10-01 01:09:12 rabbitmq-1       |   Release series support status: supported
2025-10-01 01:09:12 rabbitmq-1       | 
2025-10-01 01:09:12 rabbitmq-1       |   Doc guides:  https://rabbitmq.com/documentation.html
2025-10-01 01:09:12 rabbitmq-1       |   Support:     https://rabbitmq.com/contact.html
2025-10-01 01:09:12 rabbitmq-1       |   Tutorials:   https://rabbitmq.com/getstarted.html
2025-10-01 01:09:12 rabbitmq-1       |   Monitoring:  https://rabbitmq.com/monitoring.html
2025-10-01 01:09:12 rabbitmq-1       | 
2025-10-01 01:09:12 rabbitmq-1       |   Logs: /var/log/rabbitmq/rabbit@ad96121a9ade_upgrade.log
2025-10-01 01:09:12 rabbitmq-1       |         <stdout>
2025-10-01 01:09:12 rabbitmq-1       | 
2025-10-01 01:09:12 rabbitmq-1       |   Config file(s): /etc/rabbitmq/conf.d/10-defaults.conf
2025-10-01 01:09:12 rabbitmq-1       | 
2025-10-01 01:09:12 rabbitmq-1       |   Starting broker...2025-10-01 04:09:12.714321+00:00 [info] <0.230.0> 
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>  node           : rabbit@ad96121a9ade
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>  home dir       : /var/lib/rabbitmq
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>  config file(s) : /etc/rabbitmq/conf.d/10-defaults.conf
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>  cookie hash    : NSEUarhSO8WeoBsIXgbzrQ==
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>  log(s)         : /var/log/rabbitmq/rabbit@ad96121a9ade_upgrade.log
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>                 : <stdout>
2025-10-01 01:09:12 rabbitmq-1       | 2025-10-01 04:09:12.714321+00:00 [info] <0.230.0>  database dir   : /var/lib/rabbitmq/mnesia/rabbit@ad96121a9ade
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.744316+00:00 [info] <0.230.0> Running boot step pre_boot defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.744385+00:00 [info] <0.230.0> Running boot step rabbit_global_counters defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.744630+00:00 [info] <0.230.0> Running boot step rabbit_osiris_metrics defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.744744+00:00 [info] <0.230.0> Running boot step rabbit_core_metrics defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.745224+00:00 [info] <0.230.0> Running boot step rabbit_alarm defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.749574+00:00 [info] <0.300.0> Memory high watermark set to 9597 MiB (10063275622 bytes) of 23992 MiB (25158189056 bytes) total
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.752484+00:00 [info] <0.302.0> Enabling free disk space monitoring (disk free space: 1001701126144, total memory: 25158189056)
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.752544+00:00 [info] <0.302.0> Disk free limit set to 50MB
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.754925+00:00 [info] <0.230.0> Running boot step code_server_cache defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.755054+00:00 [info] <0.230.0> Running boot step file_handle_cache defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.755808+00:00 [info] <0.305.0> Limiting to approx 1048479 file handles (943629 sockets)
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.756478+00:00 [info] <0.306.0> FHC read buffering: OFF
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.756593+00:00 [info] <0.306.0> FHC write buffering: ON
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.758376+00:00 [info] <0.230.0> Running boot step worker_pool defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.758516+00:00 [info] <0.287.0> Will use 6 processes for default worker pool
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.758566+00:00 [info] <0.287.0> Starting worker pool 'worker_pool' with 6 processes in it
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.759083+00:00 [info] <0.230.0> Running boot step database defined by app rabbit
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.759483+00:00 [info] <0.230.0> Node database directory at /var/lib/rabbitmq/mnesia/rabbit@ad96121a9ade is empty. Assuming we need to join an existing cluster or initialise from scratch...
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.759671+00:00 [info] <0.230.0> Configured peer discovery backend: rabbit_peer_discovery_classic_config
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.759754+00:00 [info] <0.230.0> Will try to lock with peer discovery backend rabbit_peer_discovery_classic_config
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.759874+00:00 [info] <0.230.0> All discovered existing cluster peers:
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.759901+00:00 [info] <0.230.0> Discovered no peer nodes to cluster with. Some discovery backends can filter nodes out based on a readiness criteria. Enabling debug logging might help troubleshoot.
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.761610+00:00 [notice] <0.44.0> Application mnesia exited with reason: stopped
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.941092+00:00 [info] <0.230.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.941291+00:00 [info] <0.230.0> Successfully synced tables from a peer
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.954981+00:00 [info] <0.230.0> Feature flags: `feature_flags_v2`: supported, attempt to enable...
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.975275+00:00 [notice] <0.288.0> Feature flags: attempt to enable `classic_mirrored_queue_version`...
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.996986+00:00 [notice] <0.288.0> Feature flags: `classic_mirrored_queue_version` enabled
2025-10-01 01:09:15 rabbitmq-1       | 2025-10-01 04:09:15.997374+00:00 [notice] <0.288.0> Feature flags: attempt to enable `classic_queue_type_delivery_support`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.008313+00:00 [notice] <0.288.0> Feature flags: attempt to enable `stream_queue`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.033601+00:00 [notice] <0.288.0> Feature flags: `stream_queue` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.046018+00:00 [notice] <0.288.0> Feature flags: `classic_queue_type_delivery_support` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.046464+00:00 [notice] <0.288.0> Feature flags: attempt to enable `direct_exchange_routing_v2`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.055767+00:00 [info] <0.501.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.055902+00:00 [info] <0.501.0> Successfully synced tables from a peer
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.076789+00:00 [notice] <0.288.0> Feature flags: `direct_exchange_routing_v2` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.077182+00:00 [notice] <0.288.0> Feature flags: attempt to enable `drop_unroutable_metric`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.098235+00:00 [notice] <0.288.0> Feature flags: `drop_unroutable_metric` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.098583+00:00 [notice] <0.288.0> Feature flags: attempt to enable `empty_basic_get_metric`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.120583+00:00 [notice] <0.288.0> Feature flags: `empty_basic_get_metric` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.121354+00:00 [notice] <0.288.0> Feature flags: attempt to enable `listener_records_in_ets`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.166529+00:00 [notice] <0.288.0> Feature flags: `listener_records_in_ets` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.167663+00:00 [notice] <0.288.0> Feature flags: attempt to enable `stream_sac_coordinator_unblock_group`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.178304+00:00 [notice] <0.288.0> Feature flags: attempt to enable `stream_single_active_consumer`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.200637+00:00 [notice] <0.288.0> Feature flags: `stream_single_active_consumer` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.212365+00:00 [notice] <0.288.0> Feature flags: `stream_sac_coordinator_unblock_group` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.213080+00:00 [notice] <0.288.0> Feature flags: attempt to enable `tracking_records_in_ets`...
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.233725+00:00 [notice] <0.288.0> Feature flags: `tracking_records_in_ets` enabled
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.234294+00:00 [info] <0.230.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.234410+00:00 [info] <0.230.0> Successfully synced tables from a peer
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.248557+00:00 [info] <0.230.0> Waiting for Mnesia tables for 30000 ms, 9 retries left
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.248739+00:00 [info] <0.230.0> Successfully synced tables from a peer
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.248774+00:00 [info] <0.230.0> Peer discovery backend rabbit_peer_discovery_classic_config does not support registration, skipping registration.
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.248891+00:00 [info] <0.230.0> Will try to unlock with peer discovery backend rabbit_peer_discovery_classic_config
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.249305+00:00 [info] <0.230.0> Running boot step tracking_metadata_store defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.249880+00:00 [info] <0.634.0> Setting up a table for connection tracking on this node: tracked_connection
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.250204+00:00 [info] <0.634.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.250378+00:00 [info] <0.634.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.250475+00:00 [info] <0.634.0> Setting up a table for channel tracking on this node: tracked_channel
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.250549+00:00 [info] <0.634.0> Setting up a table for channel tracking on this node: tracked_channel_per_user
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.250856+00:00 [info] <0.230.0> Running boot step networking_metadata_store defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.251385+00:00 [info] <0.230.0> Running boot step database_sync defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.251893+00:00 [info] <0.230.0> Running boot step feature_flags defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252064+00:00 [info] <0.230.0> Running boot step codec_correctness_check defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252094+00:00 [info] <0.230.0> Running boot step external_infrastructure defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252157+00:00 [info] <0.230.0> Running boot step rabbit_event defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252269+00:00 [info] <0.230.0> Running boot step rabbit_registry defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252373+00:00 [info] <0.230.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252450+00:00 [info] <0.230.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252518+00:00 [info] <0.230.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252588+00:00 [info] <0.230.0> Running boot step rabbit_exchange_type_direct defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252678+00:00 [info] <0.230.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252781+00:00 [info] <0.230.0> Running boot step rabbit_exchange_type_headers defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.252946+00:00 [info] <0.230.0> Running boot step rabbit_exchange_type_topic defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.253057+00:00 [info] <0.230.0> Running boot step rabbit_mirror_queue_mode_all defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.253168+00:00 [info] <0.230.0> Running boot step rabbit_mirror_queue_mode_exactly defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.253290+00:00 [info] <0.230.0> Running boot step rabbit_mirror_queue_mode_nodes defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.253474+00:00 [info] <0.230.0> Running boot step rabbit_priority_queue defined by app rabbit
2025-10-01 01:09:16 rabbitmq-1       | 2025-10-01 04:09:16.253733+00:00 [info] <0.230.0> Priority queues enabled, real BQ is rabbit_variable_queue
